_mj,_mi,idn,country,year,reg_4state,ocbu,ocbu_lag,se_ptrade_i_ocbu,se_high_equity_ocbu,se_eu_ocbu,se_basel_ocbu,se_easia_ocbu,se_cbss_ocbu,cbocb,cbocb_lag,se_ptrade_i_cbocb,se_high_equity_cbocb,se_eu_cbocb,se_basel_cbocb,se_easia_cbocb,se_cbss_cbocb,e_asia,cbss,imf_2,basel_member,gdp_2005_nse,log_gdp,gdp_change,fdi,portfolio_invest,post_warsaw,crisis_base,crisis6,checks,polar,cbg_time_in_office,eu,udems_mean,income_diversity,asset_diversity,dbagdp,netintmargin,concentration,inslife,insnonlife,stmktcap,pr_bur,pr_corrupt,pr_invest,pr_law_order,pr_socio_econ,inf_rr,crrncy_crisis,infltn_crisis,stck_mrkt_crash,svrgn_debt_crisis_dmstc,svrgn_debt_crisis_extrnl,cent_gov_debt_gdp,gen_gov_debt_gdp,ext_debt_gdp,ext_debt_gnp,cent_gov_debt_exports,percent_se_cbss_ocbu,percent_se_eu_ocbu,percent_se_basel_ocbu,NoEvent,event,end,begin
1,1406,73,"Sweden",1997,3,1,1,.0765092,0,.0666667,0,0,.1111111,0,0,.446371,.5714286,.4,.3636364,0,.3333333,0,1,0,1,25.62609,10.15137,2.460282,102.7107,-16.87034,0,0,0,3,2,3,1,1.575691,.6646272,.5665557,.4243208,.0228844,.9604012,.022331,.021112,1.045511,4,6,7.333333,6,8,1.809,0,0,0,0,0,78.39201,72.1,93.16475,79.6411,67.59604,11.11111,6.66667,0,0,,,
1,1407,73,"Sweden",1998,3,1,1,.1706035,.1428571,.1333333,.0909091,0,.1111111,0,0,.3587486,.2857143,.3333333,.2727273,0,.3333333,0,1,0,1,26.59636,10.18853,3.813946,194.1286,-3.276911,0,0,0,3,2,4,1,2.008318,.6646272,.5665557,.4544785,.021353,.9629258,.037162,.018267,1.105726,4,6,7,6,8,1.032,0,0,0,0,0,76.28313,69.9,76.51777,89.31564,164.3777,11.11111,13.33333,9.09091,0,,,
1,1408,73,"Sweden",1999,3,1,1,.1718911,.1428571,.1333333,.0909091,0,.2222222,0,0,.3364712,.2857143,.3333333,.2727273,0,.3333333,0,1,0,1,27.80098,10.23283,4.595403,593.8591,-38.94585,0,0,0,4,2,5,1,2.000367,.6646272,.5665557,.460734,.0221173,.9574015,.047086,.018276,1.286179,4,6,7.25,6,8,.549,0,0,0,0,0,69.1123,64.2,59.32848,85.17577,136.4479,22.22222,13.33333,9.09091,0,,,
1,1409,73,"Sweden",2000,3,1,1,.179217,.1428571,.1333333,.0909091,0,.2222222,0,0,.3437672,.2857143,.3333333,.2727273,0,.3333333,0,1,0,1,28.98596,10.27457,4.398932,221.2475,179.9741,0,0,0,4,2,6,1,2.020554,.6646272,.5665557,.4641267,.0197844,.9524244,.056399,.018273,1.460382,4,6,8.416667,6,8,1.29,0,0,1,0,0,60.76464,53.2,50.53891,91.46078,342.1497,22.22222,13.33333,9.09091,0,,,
1,1410,73,"Sweden",2001,3,1,1,.2126152,.25,.1333333,.1666667,0,.2222222,0,0,.348689,.25,.3333333,.3333333,0,.3333333,0,1,0,1,29.21022,10.28227,1.057739,130.8477,-23.36275,0,0,0,4,2,7,1,2.016372,.6646272,.5665557,.7784109,.033697,.9376382,.050449,.018997,1.289008,4,5.916667,11.04167,6,9.333333,2.673,0,0,1,0,0,49.73076,53.9,24.2719,106.1386,368.2509,22.22222,13.33333,16.66667,0,,,
1,1411,73,"Sweden",2002,3,1,1,.2176437,0,.1333333,.1666667,0,.3333333,0,0,.3539161,.5,.3333333,.3333333,0,.3333333,0,1,0,1,29.81401,10.30273,2.411309,117.0876,25.36372,0,0,0,4,2,8,1,2.018297,.6646272,.5665557,1.058808,.0373311,.9716692,.045354,.02068,.8603611,4,5.5,12,6,10,1.928,0,0,1,0,0,47.93243,52.1,140.2709,111.7692,102.3022,33.33333,13.33333,16.66667,0,,,
1,1412,73,"Sweden",2003,3,1,1,.4278829,.5,.3333333,.3333333,0,.5555556,0,0,.2069728,.125,.2666667,.25,0,.2222222,0,1,0,1,30.27566,10.3181,1.912597,32.67923,4.521775,0,0,0,4,2,.5,1,2.011161,.6646272,.5665557,1.063127,.0369672,.9695902,.047341,.022325,.7754673,4,5.5,12,6,9.875,2.34,0,0,0,0,0,48.85357,51.7,122.4686,114.4838,234.5392,55.55556,33.33333,33.33333,0,,,
1,1413,73,"Sweden",2004,3,1,1,.5661399,.125,.4166667,.3333333,0,.7777778,0,0,.2094219,.25,.2916667,.25,0,.2222222,0,1,0,1,31.39896,10.35453,4.127045,109.5669,-.8261797,0,0,0,4,2,1,1,2.008659,.6646272,.5665557,1.068102,.0311659,.9477969,.045636,.023945,.9613032,4,5,12,6,9.875,1.019,0,0,0,0,0,47.89879,50.5,180.0661,120.2017,103.0206,77.77778,41.66667,33.33333,0,,,
1,1414,73,"Sweden",2005,3,1,1,.5711703,.25,.4166667,.3333333,0,.7777778,0,0,.2126043,.125,.2916667,.25,0,.2222222,0,1,0,1,32.31943,10.38342,3.298339,100.1752,20.53671,0,0,0,4,2,2,1,2.011417,.6646272,.5665557,1.119604,.0277743,.9484333,.053276,.024975,1.101854,4,5,12,6,9.375,.822,1,0,0,0,0,47.8416,50.4,104.1922,118.2859,27.45723,77.77778,41.66667,33.33333,0,,,
1,1415,73,"Sweden",2006,3,1,1,.5777175,.25,.4166667,.3333333,0,.7777778,0,0,.2092964,.125,.2916667,.25,0,.2222222,0,1,0,1,33.43168,10.41726,4.246459,268.6473,2.418823,0,0,0,4,2,1,1,2.01613,.6646272,.5665557,1.178355,.0275635,.9420412,.0521504,.023822,1.285092,4,5,12,6,9,1.498,0,0,0,0,0,43.77969,45.2,255.244,134.2767,310.0571,77.77778,41.66667,33.33333,0,,,
